Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-03 13:27:08,2,0,0.98
2020-08-03 13:27:08,2,0,0.98
2020-08-03 13:40:09,4,1,0.94
2020-08-03 13:40:09,5,3,0.9
2020-08-03 13:40:10,5,1,0.92
2020-08-03 13:40:10,5,1,0.92
2020-08-03 13:40:11,4,1,0.94
2020-08-03 13:40:11,5,2,0.91
2020-08-03 13:40:12,6,4,0.88
2020-08-03 13:40:12,6,4,0.88
2020-08-03 13:40:13,6,4,0.88
2020-08-03 13:40:14,5,2,0.91
2020-08-03 13:40:14,5,2,0.91
2020-08-03 13:40:15,5,4,0.89
2020-08-03 13:40:15,6,6,0.85
2020-08-03 13:40:16,5,3,0.9
2020-08-03 13:40:16,5,3,0.9
2020-08-03 13:40:17,4,4,0.9
2020-08-03 13:40:17,4,3,0.91
2020-08-03 13:40:18,5,2,0.91
2020-08-03 13:40:18,4,2,0.92
2020-08-03 13:40:19,6,6,0.85
2020-08-03 13:40:20,7,4,0.86
2020-08-03 13:40:20,6,4,0.88
2020-08-03 13:40:21,5,1,0.92
2020-08-03 13:40:21,5,2,0.91
2020-08-03 13:40:22,4,1,0.94
2020-08-03 13:40:22,4,1,0.94
2020-08-03 13:40:23,4,1,0.94
2020-08-03 13:40:23,3,1,0.95
2020-08-03 13:40:24,3,1,0.95
2020-08-03 13:40:24,2,0,0.98
2020-08-03 13:40:25,2,0,0.98
2020-08-03 13:40:25,2,0,0.98
2020-08-03 13:40:26,3,1,0.95
2020-08-03 13:40:27,2,0,0.98
2020-08-03 13:40:27,2,0,0.98
2020-08-03 13:40:28,2,0,0.98
2020-08-03 13:40:28,3,0,0.96
2020-08-03 13:40:29,3,0,0.96
2020-08-03 13:40:29,3,0,0.96
2020-08-03 13:40:30,3,0,0.96
2020-08-03 13:40:30,3,0,0.96
2020-08-03 13:40:31,3,1,0.95
2020-08-03 13:40:32,5,4,0.89
2020-08-03 13:40:32,4,2,0.92
2020-08-03 13:40:33,4,2,0.92
2020-08-03 13:40:33,3,1,0.95
2020-08-03 13:40:34,3,1,0.95
2020-08-03 13:40:34,2,0,0.98
2020-08-03 13:40:35,1,0,0.99
2020-08-03 13:40:35,2,1,0.96
2020-08-03 13:40:36,2,0,0.98
2020-08-03 13:40:36,1,0,0.99
2020-08-03 13:40:37,1,0,0.99
2020-08-03 13:40:37,1,0,0.99
2020-08-03 13:40:38,1,0,0.99
2020-08-03 13:40:38,1,0,0.99
2020-08-03 13:40:39,1,0,0.99
2020-08-03 13:40:40,1,0,0.99
2020-08-03 13:40:40,1,0,0.99
2020-08-03 13:40:41,1,0,0.99
2020-08-03 13:40:41,1,0,0.99
2020-08-03 13:40:42,1,0,0.99
2020-08-03 13:40:42,1,0,0.99
2020-08-03 13:40:43,1,0,0.99
2020-08-03 13:40:43,1,0,0.99
2020-08-03 13:40:44,1,0,0.99
2020-08-03 13:40:44,2,0,0.98
2020-08-03 13:40:45,2,0,0.98
2020-08-03 13:40:45,4,1,0.94
2020-08-03 13:40:46,5,3,0.9
2020-08-03 13:40:46,5,1,0.92
2020-08-03 13:40:47,5,1,0.92
2020-08-03 13:40:48,5,1,0.92
2020-08-03 13:40:48,4,1,0.94
2020-08-03 13:40:49,4,2,0.92
2020-08-03 13:40:49,6,4,0.88
2020-08-03 13:40:50,6,4,0.88
2020-08-03 13:40:50,6,4,0.88
2020-08-03 13:40:51,5,2,0.91
2020-08-03 13:40:51,5,4,0.89
2020-08-03 13:40:52,6,6,0.85
2020-08-03 13:40:52,5,2,0.91
2020-08-03 13:40:53,4,4,0.9
2020-08-03 13:40:53,4,3,0.91
2020-08-03 13:40:54,5,3,0.9
2020-08-03 13:40:55,6,6,0.85
2020-08-03 13:40:55,7,5,0.85
2020-08-03 13:40:56,6,3,0.89
2020-08-03 13:40:56,5,2,0.91
2020-08-03 13:40:57,4,1,0.94
2020-08-03 13:40:57,4,1,0.94
2020-08-03 13:40:58,4,1,0.94
2020-08-03 13:40:58,2,0,0.98
